episode,score
1,0
2,1
3,0
4,1
5,0
6,0
7,0
8,0
9,1
10,0
11,1
12,0
13,0
14,1
15,0
16,0
17,1
18,1
19,0
20,0
21,0
22,1
23,0
24,1
25,1
26,0
27,1
28,0
29,1
30,1
31,0
32,1
33,0
34,0
35,0
36,1
37,0
38,1
39,1
40,2
41,2
42,0
43,1
44,0
45,0
46,0
47,0
48,0
49,1
50,1
51,0
52,0
53,1
54,1
55,1
56,1
57,1
58,0
59,1
60,1
61,3
62,3
63,2
64,3
65,0
66,2
67,5
68,4
69,6
70,1
71,1
72,9
73,9
74,3
75,2
76,0
77,0
78,6
79,3
80,1
81,12
82,1
83,0
84,1
85,14
86,1
87,2
88,28
89,22
90,1
91,0
92,0
93,17
94,0
95,18
96,22
97,6
98,15
99,34
100,7
101,25
102,19
103,23
104,25
105,44
106,31
107,29
108,37
109,33
110,39
111,26
112,16
113,52
114,26
115,23
116,30
117,27
118,34
119,32
120,21
121,61
122,34
123,31
124,26
125,45
126,36
127,18
128,21
129,13
130,28
131,26
132,36
133,42
134,10
135,14
136,51
137,33
138,22
139,40
140,24
141,48
142,42
143,30
144,14
145,35
146,21
147,25
148,53
149,35
150,35
151,11
152,41
153,36
154,59
155,24
156,35
157,21
158,37
159,34
160,38
161,27
162,72
163,17
164,22
165,18
166,40
167,31
168,41
169,3
170,29
171,28
172,31
173,40
174,37
175,22
176,62
177,48
178,24
179,16
180,21
181,36
182,51
183,22
184,23
185,38
186,31
187,34
188,17
189,41
190,40
191,29
192,13
193,19
194,28
195,23
196,36
197,13
198,47
199,65
200,43
201,41
202,33
203,20
204,15
205,37
206,22
207,55
208,36
209,22
210,31
211,39
212,37
213,31
214,20
215,52
216,27
217,23
218,34
219,48
220,64
221,26
222,36
223,33
224,41
225,43
226,37
227,46
228,34
229,27
230,42
231,19
232,16
233,43
234,34
235,23
236,32
237,25
238,28
239,12
240,31
241,36
242,28
243,20
244,33
245,19
246,44
247,25
248,34
249,46
250,41
251,34
252,38
253,34
254,41
255,40
256,38
257,32
258,22
259,31
260,15
261,32
262,38
263,15
264,30
265,14
266,44
267,19
268,21
269,50
270,37
271,22
272,55
273,32
274,16
275,61
276,41
277,21
278,14
279,38
280,61
281,17
282,35
283,42
284,46
285,31
286,44
287,31
288,25
289,35
290,18
291,37
292,31
293,55
294,18
295,21
296,28
297,28
298,60
299,34
300,36
301,22
302,44
303,32
304,54
305,28
306,57
307,45
308,45
309,32
310,23
311,48
312,27
313,47
314,13
315,32
316,26
317,18
318,19
319,34
320,24
321,31
322,30
323,47
324,26
325,45
326,16
327,39
328,6
329,33
330,48
331,32
332,8
333,64
334,45
335,9
336,44
337,47
338,53
339,19
340,28
341,21
342,22
343,31
344,29
345,18
346,36
347,27
348,43
349,32
350,20
351,32
352,52
353,38
354,39
355,60
356,37
357,14
358,45
359,32
360,16
361,22
362,24
363,33
364,37
365,37
366,51
367,24
368,33
369,35
370,15
371,46
372,26
373,25
374,25
375,43
376,35
377,21
378,28
379,47
380,29
381,35
382,39
383,39
384,25
385,27
386,30
387,18
388,31
389,44
390,37
391,43
392,39
393,17
394,33
395,36
396,18
397,25
398,21
399,24
400,54
401,58
402,34
403,38
404,19
405,37
406,44
407,36
408,19
409,50
410,22
411,33
412,31
413,31
414,36
415,42
416,40
417,22
418,34
419,36
420,54
421,44
422,57
423,53
424,24
425,19
426,31
427,30
428,13
429,10
430,33
431,31
432,38
433,24
434,31
435,30
436,21
437,23
438,15
439,30
440,36
441,26
442,40
443,37
444,39
445,19
446,33
447,32
448,29
449,42
450,40
451,19
452,31
453,12
454,39
455,39
456,33
457,47
458,13
459,19
460,40
461,48
462,9
463,37
464,34
465,24
466,68
467,32
468,29
469,33
470,18
471,37
472,3
473,35
474,27
475,21
476,15
477,26
478,26
479,29
480,41
481,15
482,46
483,55
484,13
485,44
486,39
487,41
488,17
489,17
490,34
