episode,score
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,0
35,1
36,0
37,1
38,0
39,1
40,0
41,1
42,1
43,0
44,1
45,1
46,0
47,3
48,2
49,3
50,2
51,1
52,4
53,4
54,1
55,3
56,1
57,4
58,1
59,2
60,1
61,3
62,6
63,4
64,3
65,3
66,3
67,9
68,8
69,10
70,3
71,6
72,8
73,14
74,7
75,4
76,0
77,13
78,17
79,7
80,12
81,11
82,12
83,13
84,15
85,5
86,4
87,13
88,18
89,5
90,13
91,23
92,15
93,11
94,10
95,5
96,26
97,25
98,3
99,11
100,15
101,13
102,14
103,20
104,31
105,19
106,13
107,18
108,22
109,10
110,20
111,30
112,9
113,28
114,32
115,27
116,13
117,36
118,20
119,22
120,20
121,35
122,27
123,24
124,21
125,39
126,3
127,21
128,17
129,17
130,2
131,27
132,40
133,43
134,26
135,20
136,43
137,22
138,31
139,25
140,20
141,26
142,18
143,35
144,24
145,10
146,25
147,28
148,21
149,27
150,51
151,7
152,20
153,29
154,14
155,28
156,25
157,17
158,15
159,40
160,29
161,29
162,61
163,26
164,31
165,28
166,8
167,27
168,31
169,24
170,59
171,49
172,49
173,10
174,56
175,35
176,30
177,40
178,23
179,21
180,29
181,16
182,23
183,28
184,37
185,48
186,14
187,46
188,11
189,22
190,24
191,41
192,30
193,40
194,39
195,22
196,54
197,35
198,29
199,44
200,47
201,53
202,36
203,37
204,39
205,26
206,37
207,25
208,35
209,28
210,32
211,34
212,48
213,49
214,19
215,35
216,46
217,39
218,22
219,49
220,34
221,35
222,28
223,48
224,36
225,36
226,43
227,23
228,34
229,35
230,37
231,24
232,37
233,17
234,15
235,37
236,38
237,28
238,26
239,20
240,40
241,14
242,38
243,50
244,17
245,9
246,32
247,25
248,40
249,13
250,31
251,38
252,56
253,5
254,68
255,45
256,29
257,50
258,28
259,63
260,26
261,39
262,18
263,43
264,33
265,50
266,33
267,36
268,43
269,49
270,40
271,30
272,28
273,34
274,19
275,34
276,35
277,52
278,18
279,36
280,45
281,37
282,32
283,19
284,42
285,38
286,46
287,35
288,14
289,18
290,49
291,16
292,32
293,31
294,26
295,39
296,35
297,51
298,28
299,29
300,36
301,20
302,25
303,40
304,39
305,29
306,16
307,36
308,38
309,17
310,26
311,14
312,25
313,5
314,17
315,37
316,21
317,17
318,11
319,22
320,22
321,31
322,10
323,9
324,33
325,18
326,15
327,15
328,27
329,25
330,19
331,38
332,46
333,27
334,45
335,24
336,20
337,39
338,34
339,34
340,40
341,18
342,37
343,25
344,49
345,19
346,23
347,50
348,58
349,71
350,26
351,12
352,37
353,34
354,11
355,45
356,43
357,35
358,23
359,14
360,37
361,16
362,36
363,38
364,44
365,23
366,55
367,23
368,43
369,16
370,35
371,17
372,22
373,10
374,36
375,54
376,17
377,10
378,31
379,13
380,28
381,16
382,33
383,29
384,27
385,48
386,44
387,27
388,40
389,20
390,38
391,45
392,49
393,23
394,25
395,22
396,44
397,48
398,42
399,9
400,41
401,26
402,41
403,31
404,13
405,24
406,29
407,23
408,19
409,25
410,15
411,29
412,69
413,29
414,61
415,39
416,38
417,9
418,25
419,36
420,49
421,49
